query	raw_translation	translation
syzygium jambos	"['""syzygium""[MeSH Terms] OR ""syzygium""[All Fields] OR (""syzygium""[All Fields] AND ""jambos""[All Fields]) OR ""syzygium jambos""[All Fields]', '""syzygium""[MeSH Terms] OR ""syzygium""[All Fields] OR (""syzygium""[All Fields] AND ""jambos""[All Fields]) OR ""syzygium jambos""[All Fields]']"	['syzygium', 'syzygium jambos']
tamarind	"['""tamarindus""[MeSH Terms] OR ""tamarindus""[All Fields] OR ""tamarind""[All Fields]', '""tamarindus""[MeSH Terms] OR ""tamarindus""[All Fields] OR ""tamarind""[All Fields]']"	['tamarind', 'tamarindus']
tamarindus indica	"['""tamarindus""[MeSH Terms] OR ""tamarindus""[All Fields] OR (""tamarindus""[All Fields] AND ""indica""[All Fields]) OR ""tamarindus indica""[All Fields]', '""tamarindus""[MeSH Terms] OR ""tamarindus""[All Fields] OR (""tamarindus""[All Fields] AND ""indica""[All Fields]) OR ""tamarindus indica""[All Fields]']"	['tamarindus', 'tamarindus indica']
tangerine	"['""citrus""[MeSH Terms] OR ""citrus""[All Fields] OR ""tangerine""[All Fields] OR ""tangerines""[All Fields]', '""citrus""[MeSH Terms] OR ""citrus""[All Fields] OR ""tangerine""[All Fields]']"	['citrus', 'tangerine', 'tangerines']
taraxacum officinale	"['""taraxacum""[MeSH Terms] OR ""taraxacum""[All Fields] OR (""taraxacum""[All Fields] AND ""officinale""[All Fields]) OR ""taraxacum officinale""[All Fields]', '""taraxacum""[MeSH Terms] OR ""taraxacum""[All Fields] OR (""taraxacum""[All Fields] AND ""officinale""[All Fields]) OR ""taraxacum officinale""[All Fields]']"	['taraxacum', 'taraxacum officinale']
taro	"['""colocasia""[MeSH Terms] OR ""colocasia""[All Fields] OR ""taro""[All Fields]', '""colocasia""[MeSH Terms] OR ""colocasia""[All Fields] OR ""taro""[All Fields]']"	['colocasia', 'taro']
tarragon	"['""artemisia""[MeSH Terms] OR ""artemisia""[All Fields] OR ""tarragon""[All Fields]', '""artemisia""[MeSH Terms] OR ""artemisia""[All Fields] OR ""tarragon""[All Fields]']"	['artemisia', 'tarragon']
tartary buckwheat	"['""tartary""[All Fields] AND (""fagopyrum""[MeSH Terms] OR ""fagopyrum""[All Fields] OR ""buckwheat""[All Fields] OR ""buckwheats""[All Fields])', 'tartary[All Fields] AND (""fagopyrum""[MeSH Terms] OR ""fagopyrum""[All Fields] OR ""buckwheat""[All Fields])']"	['tartary buckwheat', 'tartary buckwheats', 'tartary fagopyrum']
tea leaf willow	"['(""tea""[MeSH Terms] OR ""tea""[All Fields]) AND (""plant leaves""[MeSH Terms] OR (""plant""[All Fields] AND ""leaves""[All Fields]) OR ""plant leaves""[All Fields] OR ""leaf""[All Fields]) AND (""salix""[MeSH Terms] OR ""salix""[All Fields] OR ""willow""[All Fields] OR ""willows""[All Fields])', '(""tea""[MeSH Terms] OR ""tea""[All Fields]) AND (""plant leaves""[MeSH Terms] OR (""plant""[All Fields] AND ""leaves""[All Fields]) OR ""plant leaves""[All Fields] OR ""leaf""[All Fields]) AND (""salix""[MeSH Terms] OR ""salix""[All Fields] OR ""willow""[All Fields])']"	['tea leaf salix', 'tea leaf willow', 'tea leaf willows', 'tea plant leaves salix', 'tea plant leaves willow', 'tea plant leaves willows']
teff	"['""eragrostis""[MeSH Terms] OR ""eragrostis""[All Fields] OR ""teff""[All Fields]', '""eragrostis""[MeSH Terms] OR ""eragrostis""[All Fields] OR ""teff""[All Fields]']"	['eragrostis', 'teff']
tetragonia tetragonioides	"['(""aizoaceae""[MeSH Terms] OR ""aizoaceae""[All Fields] OR ""tetragonia""[All Fields]) AND ""tetragonioides""[All Fields]', '(""aizoaceae""[MeSH Terms] OR ""aizoaceae""[All Fields] OR ""tetragonia""[All Fields]) AND tetragonioides[All Fields]']"	['aizoaceae tetragonioides', 'tetragonia tetragonioides']
teuthida	"['""teuthida""[All Fields]', 'teuthida[All Fields]']"	['teuthida']
thelesperma	"['""thelesperma""[All Fields]', 'thelesperma[All Fields]']"	['thelesperma']
theobroma cacao	"['""cacao""[MeSH Terms] OR ""cacao""[All Fields] OR (""theobroma""[All Fields] AND ""cacao""[All Fields]) OR ""theobroma cacao""[All Fields]', '""cacao""[MeSH Terms] OR ""cacao""[All Fields] OR (""theobroma""[All Fields] AND ""cacao""[All Fields]) OR ""theobroma cacao""[All Fields]']"	['cacao', 'theobroma cacao']
theobroma grandiflorum	"['(""cacao""[MeSH Terms] OR ""cacao""[All Fields] OR ""theobroma""[All Fields] OR ""theobromae""[All Fields]) AND ""grandiflorum""[All Fields]', '(""cacao""[MeSH Terms] OR ""cacao""[All Fields] OR ""theobroma""[All Fields]) AND grandiflorum[All Fields]']"	['cacao grandiflorum', 'theobroma grandiflorum', 'theobromae grandiflorum']
theragra chalcogramma	"['""theragra""[All Fields] AND ""chalcogramma""[All Fields]', 'theragra[All Fields] AND chalcogramma[All Fields]']"	['theragra chalcogramma']
thistle	"['""thistle""[All Fields] OR ""thistle s""[All Fields] OR ""thistles""[All Fields]', 'thistle[All Fields]']"	['thistle', 'thistle s', 'thistles']
thunnus	"['""thunnus""[All Fields]', 'thunnus[All Fields]']"	['thunnus']
thunnus alalunga	"['""thunnus""[All Fields] AND ""alalunga""[All Fields]', 'thunnus[All Fields] AND alalunga[All Fields]']"	['thunnus alalunga']
thunnus albacares	"['""thunnus""[All Fields] AND ""albacares""[All Fields]', 'thunnus[All Fields] AND albacares[All Fields]']"	['thunnus albacares']
thunnus thynnus	"['""thunnus""[All Fields] AND ""thynnus""[All Fields]', 'thunnus[All Fields] AND thynnus[All Fields]']"	['thunnus thynnus']
thyme	"['""thymus plant""[MeSH Terms] OR (""thymus""[All Fields] AND ""plant""[All Fields]) OR ""thymus plant""[All Fields] OR ""thyme""[All Fields]', '""thymus plant""[MeSH Terms] OR (""thymus""[All Fields] AND ""plant""[All Fields]) OR ""thymus plant""[All Fields] OR ""thyme""[All Fields]']"	['thyme', 'thymus plant']
thymus pulegioides	"['(""thymus plant""[MeSH Terms] OR (""thymus""[All Fields] AND ""plant""[All Fields]) OR ""thymus plant""[All Fields] OR ""thymus""[All Fields] OR ""thymus gland""[MeSH Terms] OR (""thymus""[All Fields] AND ""gland""[All Fields]) OR ""thymus gland""[All Fields] OR ""thymus extracts""[MeSH Terms] OR (""thymus""[All Fields] AND ""extracts""[All Fields]) OR ""thymus extracts""[All Fields]) AND ""pulegioides""[All Fields]', '(""thymus plant""[MeSH Terms] OR (""thymus""[All Fields] AND ""plant""[All Fields]) OR ""thymus plant""[All Fields] OR ""thymus""[All Fields] OR ""thymus gland""[MeSH Terms] OR (""thymus""[All Fields] AND ""gland""[All Fields]) OR ""thymus gland""[All Fields] OR ""thymus extracts""[MeSH Terms] OR (""thymus""[All Fields] AND ""extracts""[All Fields]) OR ""thymus extracts""[All Fields]) AND pulegioides[All Fields]']"	['thymus extracts pulegioides', 'thymus gland pulegioides', 'thymus plant pulegioides', 'thymus pulegioides']
thymus vulgaris	"['""thymus plant""[MeSH Terms] OR (""thymus""[All Fields] AND ""plant""[All Fields]) OR ""thymus plant""[All Fields] OR (""thymus""[All Fields] AND ""vulgaris""[All Fields]) OR ""thymus vulgaris""[All Fields]', '""thymus plant""[MeSH Terms] OR (""thymus""[All Fields] AND ""plant""[All Fields]) OR ""thymus plant""[All Fields] OR (""thymus""[All Fields] AND ""vulgaris""[All Fields]) OR ""thymus vulgaris""[All Fields]']"	['thymus plant', 'thymus vulgaris']
tilapia	"['""tilapia""[MeSH Terms] OR ""tilapia""[All Fields] OR ""tilapias""[All Fields]', '""tilapia""[MeSH Terms] OR ""tilapia""[All Fields]']"	['tilapia', 'tilapias']
tilefish	"['""tilefish""[All Fields]', 'tilefish[All Fields]']"	['tilefish']
tilia	"['""tilia""[MeSH Terms] OR ""tilia""[All Fields] OR ""tilias""[All Fields] OR ""tiliae""[All Fields]', '""tilia""[MeSH Terms] OR ""tilia""[All Fields]']"	['tilia', 'tiliae', 'tilias']
tilia argentea	"['(""tilia""[MeSH Terms] OR ""tilia""[All Fields] OR ""tilias""[All Fields] OR ""tiliae""[All Fields]) AND ""argentea""[All Fields]', '(""tilia""[MeSH Terms] OR ""tilia""[All Fields]) AND argentea[All Fields]']"	['tilia argentea', 'tiliae argentea', 'tilias argentea']
tilia cordata	"['(""tilia""[MeSH Terms] OR ""tilia""[All Fields] OR ""tilias""[All Fields] OR ""tiliae""[All Fields]) AND ""cordata""[All Fields]', '(""tilia""[MeSH Terms] OR ""tilia""[All Fields]) AND cordata[All Fields]']"	['tilia cordata', 'tiliae cordata', 'tilias cordata']
tinda	"['""tinda""[All Fields]', 'tinda[All Fields]']"	['tinda']
tomato	"['""solanum lycopersicum""[MeSH Terms] OR (""solanum""[All Fields] AND ""lycopersicum""[All Fields]) OR ""solanum lycopersicum""[All Fields] OR ""tomato""[All Fields] OR ""tomatoes""[All Fields] OR ""tomato s""[All Fields] OR ""tomatoe""[All Fields] OR ""tomatos""[All Fields]', '""solanum lycopersicum""[MeSH Terms] OR (""solanum""[All Fields] AND ""lycopersicum""[All Fields]) OR ""solanum lycopersicum""[All Fields] OR ""tomato""[All Fields]']"	['solanum lycopersicum', 'tomato', 'tomato s', 'tomatoe', 'tomatoes', 'tomatos']
towel gourd	"['(""towel""[All Fields] OR ""toweling""[All Fields] OR ""towelling""[All Fields] OR ""towels""[All Fields]) AND (""cucurbita""[MeSH Terms] OR ""cucurbita""[All Fields] OR ""gourds""[All Fields] OR ""gourd""[All Fields])', 'towel[All Fields] AND gourd[All Fields]']"	['towel cucurbita', 'towel gourd', 'towel gourds', 'toweling cucurbita', 'toweling gourd', 'toweling gourds', 'towelling cucurbita', 'towelling gourd', 'towelling gourds', 'towels cucurbita', 'towels gourd', 'towels gourds']
trachinotus carolinus	"['""trachinotus""[All Fields] AND ""carolinus""[All Fields]', 'trachinotus[All Fields] AND carolinus[All Fields]']"	['trachinotus carolinus']
trachurus symmetricus	"['""trachurus""[All Fields] AND ""symmetricus""[All Fields]', 'trachurus[All Fields] AND symmetricus[All Fields]']"	['trachurus symmetricus']
tragopogon porrifolius	"['""tragopogon""[MeSH Terms] OR ""tragopogon""[All Fields] OR (""tragopogon""[All Fields] AND ""porrifolius""[All Fields]) OR ""tragopogon porrifolius""[All Fields]', '""tragopogon""[MeSH Terms] OR ""tragopogon""[All Fields] OR (""tragopogon""[All Fields] AND ""porrifolius""[All Fields]) OR ""tragopogon porrifolius""[All Fields]']"	['tragopogon', 'tragopogon porrifolius']
tree fern	"['(""trees""[MeSH Terms] OR ""trees""[All Fields] OR ""tree""[All Fields]) AND (""ferns""[MeSH Terms] OR ""ferns""[All Fields] OR ""fern""[All Fields])', '(""trees""[MeSH Terms] OR ""trees""[All Fields] OR ""tree""[All Fields]) AND (""ferns""[MeSH Terms] OR ""ferns""[All Fields] OR ""fern""[All Fields])']"	['tree fern', 'tree ferns', 'trees fern', 'trees ferns']
trifolium pratense	"['""trifolium""[MeSH Terms] OR ""trifolium""[All Fields] OR (""trifolium""[All Fields] AND ""pratense""[All Fields]) OR ""trifolium pratense""[All Fields]', '""trifolium""[MeSH Terms] OR ""trifolium""[All Fields] OR (""trifolium""[All Fields] AND ""pratense""[All Fields]) OR ""trifolium pratense""[All Fields]']"	['trifolium', 'trifolium pratense']
trigonella foenum-graecum	"['""trigonella""[MeSH Terms] OR ""trigonella""[All Fields] OR (""trigonella""[All Fields] AND ""foenum""[All Fields] AND ""graecum""[All Fields]) OR ""trigonella foenum graecum""[All Fields]', '""trigonella""[MeSH Terms] OR ""trigonella""[All Fields] OR (""trigonella""[All Fields] AND ""foenum""[All Fields] AND ""graecum""[All Fields]) OR ""trigonella foenum graecum""[All Fields]']"	['trigonella', 'trigonella foenum graecum']
trisopterus esmarkii	"['""trisopterus""[All Fields] AND ""esmarkii""[All Fields]', 'trisopterus[All Fields] AND esmarkii[All Fields]']"	['trisopterus esmarkii']
triticale	"['""triticale""[MeSH Terms] OR ""triticale""[All Fields] OR ""triticales""[All Fields]', '""triticale""[MeSH Terms] OR ""triticale""[All Fields]']"	['triticale', 'triticales']
triticum	"['""triticum""[MeSH Terms] OR ""triticum""[All Fields]', '""triticum""[MeSH Terms] OR ""triticum""[All Fields]']"	['triticum']
triticum aestivum	"['""triticum""[MeSH Terms] OR ""triticum""[All Fields] OR (""triticum""[All Fields] AND ""aestivum""[All Fields]) OR ""triticum aestivum""[All Fields]', '""triticum""[MeSH Terms] OR ""triticum""[All Fields] OR (""triticum""[All Fields] AND ""aestivum""[All Fields]) OR ""triticum aestivum""[All Fields]']"	['triticum', 'triticum aestivum']
triticum durum	"['""triticum""[MeSH Terms] OR ""triticum""[All Fields] OR (""triticum""[All Fields] AND ""durum""[All Fields]) OR ""triticum durum""[All Fields]', '""triticum""[MeSH Terms] OR ""triticum""[All Fields] OR (""triticum""[All Fields] AND ""durum""[All Fields]) OR ""triticum durum""[All Fields]']"	['triticum', 'triticum durum']
triticum spelta	"['""triticum""[MeSH Terms] OR ""triticum""[All Fields] OR (""triticum""[All Fields] AND ""spelta""[All Fields]) OR ""triticum spelta""[All Fields]', '""triticum""[MeSH Terms] OR ""triticum""[All Fields] OR (""triticum""[All Fields] AND ""spelta""[All Fields]) OR ""triticum spelta""[All Fields]']"	['triticum', 'triticum spelta']
triticum turanicum	"['(""triticum""[MeSH Terms] OR ""triticum""[All Fields]) AND ""turanicum""[All Fields]', '(""triticum""[MeSH Terms] OR ""triticum""[All Fields]) AND turanicum[All Fields]']"	['triticum turanicum']
tronchuda cabbage	"['""tronchuda""[All Fields] AND (""brassica""[MeSH Terms] OR ""brassica""[All Fields] OR ""cabbage""[All Fields] OR ""cabbages""[All Fields])', 'tronchuda[All Fields] AND (""brassica""[MeSH Terms] OR ""brassica""[All Fields] OR ""cabbage""[All Fields])']"	['tronchuda brassica', 'tronchuda cabbage', 'tronchuda cabbages']
trout	"['""trout""[MeSH Terms] OR ""trout""[All Fields] OR ""trouts""[All Fields]', '""trout""[MeSH Terms] OR ""trout""[All Fields]']"	['trout', 'trouts']
true frog	"['""ranidae""[MeSH Terms] OR ""ranidae""[All Fields] OR (""true""[All Fields] AND ""frog""[All Fields]) OR ""true frog""[All Fields]', '""ranidae""[MeSH Terms] OR ""ranidae""[All Fields] OR (""true""[All Fields] AND ""frog""[All Fields]) OR ""true frog""[All Fields]']"	['ranidae', 'true frog']
true oyster	"['""ostrea""[MeSH Terms] OR ""ostrea""[All Fields] OR (""true""[All Fields] AND ""oyster""[All Fields])', '""ostrea""[MeSH Terms] OR ""ostrea""[All Fields] OR (""true""[All Fields] AND ""oyster""[All Fields]) OR ""true oyster""[All Fields]']"	['ostrea', 'true oyster']
true sole	"['""true""[All Fields] AND ""sole""[All Fields]', 'true[All Fields] AND sole[All Fields]']"	['true sole']
tuna	"['""tuna""[MeSH Terms] OR ""tuna""[All Fields]', '""tuna""[MeSH Terms] OR ""tuna""[All Fields]']"	['tuna']
tunicata	"['""urochordata""[MeSH Terms] OR ""urochordata""[All Fields] OR ""tunicata""[All Fields]', '""urochordata""[MeSH Terms] OR ""urochordata""[All Fields] OR ""tunicata""[All Fields]']"	['tunicata', 'urochordata']
tunicate	"['""tunic""[All Fields] OR ""tunics""[All Fields] OR ""urochordata""[MeSH Terms] OR ""urochordata""[All Fields] OR ""tunicate""[All Fields] OR ""tunicates""[All Fields]', '""urochordata""[MeSH Terms] OR ""urochordata""[All Fields] OR ""tunicate""[All Fields]']"	['tunic', 'tunicate', 'tunicates', 'tunics', 'urochordata']
turbot	"['""flatfishes""[MeSH Terms] OR ""flatfishes""[All Fields] OR ""turbot""[All Fields] OR ""turbots""[All Fields]', '""flatfishes""[MeSH Terms] OR ""flatfishes""[All Fields] OR ""turbot""[All Fields]']"	['flatfishes', 'turbot', 'turbots']
turkey	"['""turkey""[MeSH Terms] OR ""turkey""[All Fields] OR ""turkey s""[All Fields] OR ""turkeys""[MeSH Terms] OR ""turkeys""[All Fields]', '""turkey""[MeSH Terms] OR ""turkey""[All Fields]']"	['turkey', 'turkey s', 'turkeys']
turmeric	"['""curcuma""[MeSH Terms] OR ""curcuma""[All Fields] OR ""turmeric""[All Fields]', '""curcuma""[MeSH Terms] OR ""curcuma""[All Fields] OR ""turmeric""[All Fields]']"	['curcuma', 'turmeric']
turnip	"['""brassica napus""[MeSH Terms] OR (""brassica""[All Fields] AND ""napus""[All Fields]) OR ""brassica napus""[All Fields] OR ""turnip""[All Fields] OR ""turnips""[All Fields]', '""brassica napus""[MeSH Terms] OR (""brassica""[All Fields] AND ""napus""[All Fields]) OR ""brassica napus""[All Fields] OR ""turnip""[All Fields]']"	['brassica napus', 'turnip', 'turnips']
typha angustifolia	"['(""typhaceae""[MeSH Terms] OR ""typhaceae""[All Fields] OR ""typha""[All Fields]) AND ""angustifolia""[All Fields]', '(""typhaceae""[MeSH Terms] OR ""typhaceae""[All Fields] OR ""typha""[All Fields]) AND angustifolia[All Fields]']"	['typha angustifolia', 'typhaceae angustifolia']
ucuhuba	"['""ucuhuba""[All Fields]', 'ucuhuba[All Fields]']"	['ucuhuba']
undaria pinnatifida	"['""undaria""[MeSH Terms] OR ""undaria""[All Fields] OR (""undaria""[All Fields] AND ""pinnatifida""[All Fields]) OR ""undaria pinnatifida""[All Fields]', '""undaria""[MeSH Terms] OR ""undaria""[All Fields] OR (""undaria""[All Fields] AND ""pinnatifida""[All Fields]) OR ""undaria pinnatifida""[All Fields]']"	['undaria', 'undaria pinnatifida']
vaccinium	"['""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields] OR ""vacciniums""[All Fields]', '""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields]']"	['vaccinium', 'vacciniums']
vaccinium alaskaense	"['(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields] OR ""vacciniums""[All Fields]) AND ""alaskaense""[All Fields]', '(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields]) AND alaskaense[All Fields]']"	['vaccinium alaskaense', 'vacciniums alaskaense']
vaccinium angustifolium	"['""blueberry plants""[MeSH Terms] OR (""blueberry""[All Fields] AND ""plants""[All Fields]) OR ""blueberry plants""[All Fields] OR (""vaccinium""[All Fields] AND ""angustifolium""[All Fields]) OR ""vaccinium angustifolium""[All Fields]', '""blueberry plants""[MeSH Terms] OR (""blueberry""[All Fields] AND ""plants""[All Fields]) OR ""blueberry plants""[All Fields] OR (""vaccinium""[All Fields] AND ""angustifolium""[All Fields]) OR ""vaccinium angustifolium""[All Fields]']"	['blueberry plants', 'vaccinium angustifolium']
vaccinium angustifolium x vaccinium corymbosum	"['(""blueberry plants""[MeSH Terms] OR (""blueberry""[All Fields] AND ""plants""[All Fields]) OR ""blueberry plants""[All Fields] OR (""vaccinium""[All Fields] AND ""angustifolium""[All Fields]) OR ""vaccinium angustifolium""[All Fields]) AND ""x""[All Fields] AND (""blueberry plants""[MeSH Terms] OR (""blueberry""[All Fields] AND ""plants""[All Fields]) OR ""blueberry plants""[All Fields] OR (""vaccinium""[All Fields] AND ""corymbosum""[All Fields]) OR ""vaccinium corymbosum""[All Fields])', '(""blueberry plants""[MeSH Terms] OR (""blueberry""[All Fields] AND ""plants""[All Fields]) OR ""blueberry plants""[All Fields] OR (""vaccinium""[All Fields] AND ""angustifolium""[All Fields]) OR ""vaccinium angustifolium""[All Fields]) AND x[All Fields] AND (""blueberry plants""[MeSH Terms] OR (""blueberry""[All Fields] AND ""plants""[All Fields]) OR ""blueberry plants""[All Fields] OR (""vaccinium""[All Fields] AND ""corymbosum""[All Fields]) OR ""vaccinium corymbosum""[All Fields])']"	['blueberry plants x blueberry plants', 'blueberry plants x vaccinium corymbosum', 'vaccinium angustifolium x blueberry plants', 'vaccinium angustifolium x vaccinium corymbosum']
vaccinium arboreum	"['(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields] OR ""vacciniums""[All Fields]) AND ""arboreum""[All Fields]', '(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields]) AND arboreum[All Fields]']"	['vaccinium arboreum', 'vacciniums arboreum']
vaccinium corymbosum	"['""blueberry plants""[MeSH Terms] OR (""blueberry""[All Fields] AND ""plants""[All Fields]) OR ""blueberry plants""[All Fields] OR (""vaccinium""[All Fields] AND ""corymbosum""[All Fields]) OR ""vaccinium corymbosum""[All Fields]', '""blueberry plants""[MeSH Terms] OR (""blueberry""[All Fields] AND ""plants""[All Fields]) OR ""blueberry plants""[All Fields] OR (""vaccinium""[All Fields] AND ""corymbosum""[All Fields]) OR ""vaccinium corymbosum""[All Fields]']"	['blueberry plants', 'vaccinium corymbosum']
vaccinium deliciosum	"['""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields] OR ""vacciniums""[All Fields]', '(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields]) AND deliciosum[All Fields]']"	['vaccinium', 'vaccinium deliciosum', 'vacciniums']
vaccinium elliottii	"['(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields] OR ""vacciniums""[All Fields]) AND ""elliottii""[All Fields]', '(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields]) AND elliottii[All Fields]']"	['vaccinium elliottii', 'vacciniums elliottii']
vaccinium macrocarpon	"['""vaccinium macrocarpon""[MeSH Terms] OR (""vaccinium""[All Fields] AND ""macrocarpon""[All Fields]) OR ""vaccinium macrocarpon""[All Fields]', '""vaccinium macrocarpon""[MeSH Terms] OR (""vaccinium""[All Fields] AND ""macrocarpon""[All Fields]) OR ""vaccinium macrocarpon""[All Fields]']"	['vaccinium macrocarpon']
vaccinium myrtilloides	"['(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields] OR ""vacciniums""[All Fields]) AND ""myrtilloides""[All Fields]', '(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields]) AND myrtilloides[All Fields]']"	['vaccinium myrtilloides', 'vacciniums myrtilloides']
vaccinium myrtillus	"['""vaccinium myrtillus""[MeSH Terms] OR (""vaccinium""[All Fields] AND ""myrtillus""[All Fields]) OR ""vaccinium myrtillus""[All Fields]', '""vaccinium myrtillus""[MeSH Terms] OR (""vaccinium""[All Fields] AND ""myrtillus""[All Fields]) OR ""vaccinium myrtillus""[All Fields]']"	['vaccinium myrtillus']
vaccinium ovalifolium	"['(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields] OR ""vacciniums""[All Fields]) AND ""ovalifolium""[All Fields]', '(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields]) AND ovalifolium[All Fields]']"	['vaccinium ovalifolium', 'vacciniums ovalifolium']
vaccinium ovatum	"['(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields] OR ""vacciniums""[All Fields]) AND ""ovatum""[All Fields]', '(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields]) AND ovatum[All Fields]']"	['vaccinium ovatum', 'vacciniums ovatum']
vaccinium oxycoccos	"['(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields] OR ""vacciniums""[All Fields]) AND ""oxycoccos""[All Fields]', '(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields]) AND oxycoccos[All Fields]']"	['vaccinium oxycoccos', 'vacciniums oxycoccos']
vaccinium parvifolium	"['(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields] OR ""vacciniums""[All Fields]) AND ""parvifolium""[All Fields]', '(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields]) AND parvifolium[All Fields]']"	['vaccinium parvifolium', 'vacciniums parvifolium']
vaccinium reticulatum	"['(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields] OR ""vacciniums""[All Fields]) AND ""reticulatum""[All Fields]', '(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields]) AND reticulatum[All Fields]']"	['vaccinium reticulatum', 'vacciniums reticulatum']
vaccinium stamineum	"['(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields] OR ""vacciniums""[All Fields]) AND ""stamineum""[All Fields]', '(""vaccinium""[MeSH Terms] OR ""vaccinium""[All Fields]) AND stamineum[All Fields]']"	['vaccinium stamineum', 'vacciniums stamineum']
vaccinium uliginosum	"['""blueberry plants""[MeSH Terms] OR (""blueberry""[All Fields] AND ""plants""[All Fields]) OR ""blueberry plants""[All Fields] OR (""vaccinium""[All Fields] AND ""uliginosum""[All Fields]) OR ""vaccinium uliginosum""[All Fields]', '""blueberry plants""[MeSH Terms] OR (""blueberry""[All Fields] AND ""plants""[All Fields]) OR ""blueberry plants""[All Fields] OR (""vaccinium""[All Fields] AND ""uliginosum""[All Fields]) OR ""vaccinium uliginosum""[All Fields]']"	['blueberry plants', 'vaccinium uliginosum']
vaccinium virgatum	"['""blueberry plants""[MeSH Terms] OR (""blueberry""[All Fields] AND ""plants""[All Fields]) OR ""blueberry plants""[All Fields] OR (""vaccinium""[All Fields] AND ""virgatum""[All Fields]) OR ""vaccinium virgatum""[All Fields]', '""blueberry plants""[MeSH Terms] OR (""blueberry""[All Fields] AND ""plants""[All Fields]) OR ""blueberry plants""[All Fields] OR (""vaccinium""[All Fields] AND ""virgatum""[All Fields]) OR ""vaccinium virgatum""[All Fields]']"	['blueberry plants', 'vaccinium virgatum']
vaccinium vitis-idaea	"['""vaccinium vitis idaea""[MeSH Terms] OR (""vaccinium""[All Fields] AND ""vitis idaea""[All Fields]) OR ""vaccinium vitis idaea""[All Fields] OR (""vaccinium""[All Fields] AND ""vitis""[All Fields] AND ""idaea""[All Fields]) OR ""vaccinium vitis idaea""[All Fields]', '""vaccinium vitis-idaea""[MeSH Terms] OR (""vaccinium""[All Fields] AND ""vitis-idaea""[All Fields]) OR ""vaccinium vitis-idaea""[All Fields] OR (""vaccinium""[All Fields] AND ""vitis""[All Fields] AND ""idaea""[All Fields]) OR ""vaccinium vitis idaea""[All Fields]']"	['vaccinium vitis idaea', 'vaccinium vitis-idaea']
valerianella locusta	"['(""valerianella""[MeSH Terms] OR ""valerianella""[All Fields]) AND (""locusta""[All Fields] OR ""locustae""[All Fields])', '(""valerianella""[MeSH Terms] OR ""valerianella""[All Fields]) AND locusta[All Fields]']"	['valerianella locusta', 'valerianella locustae']
vanilla	"['""vanilla""[MeSH Terms] OR ""vanilla""[All Fields]', '""vanilla""[MeSH Terms] OR ""vanilla""[All Fields]']"	['vanilla']
veal	"['""red meat""[MeSH Terms] OR (""red""[All Fields] AND ""meat""[All Fields]) OR ""red meat""[All Fields] OR ""veal""[All Fields]', '""red meat""[MeSH Terms] OR (""red""[All Fields] AND ""meat""[All Fields]) OR ""red meat""[All Fields] OR ""veal""[All Fields]']"	['red meat', 'veal']
velvet duck	"['""velvet""[All Fields] AND (""ducks""[MeSH Terms] OR ""ducks""[All Fields] OR ""duck""[All Fields])', 'velvet[All Fields] AND (""ducks""[MeSH Terms] OR ""ducks""[All Fields] OR ""duck""[All Fields])']"	['velvet duck', 'velvet ducks']
verbena	"['""verbena""[MeSH Terms] OR ""verbena""[All Fields]', '""verbena""[MeSH Terms] OR ""verbena""[All Fields]']"	['verbena']
verbena officinalis	"['(""verbena""[MeSH Terms] OR ""verbena""[All Fields]) AND ""officinalis""[All Fields]', '(""verbena""[MeSH Terms] OR ""verbena""[All Fields]) AND officinalis[All Fields]']"	['verbena officinalis']
viburnum edule	"['(""viburnum""[MeSH Terms] OR ""viburnum""[All Fields] OR ""viburnums""[All Fields]) AND ""edule""[All Fields]', '(""viburnum""[MeSH Terms] OR ""viburnum""[All Fields]) AND edule[All Fields]']"	['viburnum edule', 'viburnums edule']
